"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"TDC","Teradata Corporation","32.69","4118940000","n/a","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/tdc",
"TGH","Textainer Group Holdings Limited","18.25","1036849660","n/a","2007","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/tgh",
"RUBI","The Rubicon Project, Inc.","3.72","185337587.04","n/a","2014","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/rubi",
"TRTN","Triton International Limited","35.92","1199558852.72","n/a","2016","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/trtn",
"TBI","TrueBlue, Inc.","23.65","993342546.35","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/tbi",
"TWLO","Twilio Inc.","32.67","3003038749.26","n/a","2016","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/twlo",
"TWTR","Twitter, Inc.","17.73","13082846879.25","n/a","2013","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/twtr",
"TYL","Tyler Technologies, Inc.","177.53","6622425379.02","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/tyl",
"UIS","Unisys Corporation","8.9","449181905.3","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/uis",
"UMC","United Microelectronics Corporation","2.58","6513984000","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/umc",
"URI","United Rentals, Inc.","142.16","12018216351.2","n/a","1997","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/uri",
"VEEV","Veeva Systems Inc.","57.42","8074204310.7","n/a","2013","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/veev",
"VMW","Vmware, Inc.","112.03","45814363554.34","n/a","2007","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/vmw",
"WBT","Welbilt, Inc.","22.14","3079686686.22","n/a","2016","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/wbt",
"WIT","Wipro Limited","5.5","26613902832","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/wit",
"WK","Workiva Inc.","22.35","934818967.2","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/wk",
"XRX","Xerox Corporation","32.74","8321518760.9","n/a","n/a","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/xrx",
"YEXT","Yext, Inc.","12.13","1094566707.16","n/a","2017","Technology","EDP Services","http://www.nasdaq.com/symbol/yext",
"YGE","Yingli Green Energy Holding Company Limited","2.33","42350958.41","n/a","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/yge",
"YUME","YuMe, Inc.","4.47","155095415.67","n/a","2013","Technology","Advertising","http://www.nasdaq.com/symbol/yume",
"ZEN","Zendesk, Inc.","29.3","2944612935.5","n/a","2014","Technology","EDP Services","http://www.nasdaq.com/symbol/zen",
